Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Explore a Career in Front-End Web Development,"Get the skills to build engaging, interactive user experiences on the web as a front-end web developer. Learn everything you need to design and develop user-facing code and discover how to bring concepts to life on the browser canvas, whether you're creating sites or apps.",Learning Path,2018-03-02 07:49 UTC,N/A,false,N/A,
Nano Tips for Developing Magnetic Charisma with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out why charisma is such a valuable skill and how you can develop your own charisma with ease, exploring key insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.<br><br>Gather strategies to build authentic charisma to start creating better first impressions and new connections today. Get tips on energizing others with charismatic presence and magnetic communication. Along the way, Shadé shows you techniques for using eye contact, pauses, presentation starts, tension-building tools, simplified language, genuine care, and more.",Course,2022-10-18 20:42 UTC,N/A,false,N/A,
Programming Foundations: Fundamentals (2011),"This course provides the core knowledge to begin programming in any language. Simon Allardice uses JavaScript to explore the core syntax of a programming language, and shows how to write and execute your first application and understand what's going on under the hood. The course covers creating small programs to explore conditions, loops, variables, and expressions; working with different kinds of data and seeing how they affect memory; writing modular code; and how to debug, all using different approaches to constructing software applications.<br><br>

Finally, the course compares how code is written in several different languages, the libraries and frameworks that have grown around them, and the reasons to choose each one.",Course,2018-02-28 05:52 UTC,N/A,false,N/A,
SharePoint Online 2017: Beyond the Basics,"Go beyond the basics and become a SharePoint power user. Dive deep into SharePoint Online and explore advanced customization and administration features that can help you meet the unique needs of your organization. Instructor Gini von Courter covers creating custom lists and libraries, building and branding team sites, customizing pages with app parts and web parts, and customizing SharePoint search. Plus, learn about adjusting user permissions, customizing content types, creating workflows, and integrating Power BI for reporting and visualization.",Course,2018-02-24 10:46 UTC,N/A,true,N/A,
Microsoft Teams (Classic) Grundkurs,"Microsoft Teams ist ein in Microsoft 365 integriertes Werkzeug zur Zusammenarbeit und zur Kommunikation. Mit Teams können Sie einen zentralen Arbeitsplatz für verschiedene Vorhaben erstellen und individuell gestalten. Chats, Onlinebesprechungen, Wikis, Dateiaustausch und viele weitere Möglichkeiten stehen Ihnen in Teams dazu zur Verfügung. Benedikt Bruns und Nicole Domino zeigen Ihnen in diesem Videokurs, wie Sie Teams in Ihrem Unternehmen sinnvoll nutzen.",Course,2021-01-04 14:45 UTC,N/A,false,N/A,
HTML Essential Training (2017),"HTML is the programming language that powers the web. And like any language, once you master it, you can begin to create your own content, whether that's simple websites or complex web applications. This course provides an in-depth look at the essentials: the syntax of HTML and best practices for writing and editing your code. Senior staff author James Williamson reviews the structure of a typical HTML document, and shows how to section pages and format your content with HTML. Plus, learn how to create links and lists, and find out how HTML works with CSS and JavaScript to create rich, engaging user experiences. So open a text editor, watch these videos, and begin learning to author HTML the right way.",Course,2018-02-05 09:11 UTC,2018-02-05 07:49 UTC,false,N/A,
Stepping Up Your Webcam Video Presence,"Nearly everyone has a webcam, but many people don’t put the effort into enhancing their webcam video presence. But with just a few relatively easy and inexpensive tweaks, you can capture well-composed, well-lit shots with great audio using the humble webcam. In this course, senior staff instructor Ashley Kennedy shows you how to represent your best self in meetings, as well as presentations, trainings, vlogs, interviews, demos, Q&As, and other types of web videos. Learn basic strategies for optimizing your system and your webcam, staging and lighting your shot, capturing high-quality audio, scripting and rehearsing for big-stakes webcam presentations, and more.",Course,2021-12-06 22:04 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2020-12-28 12:54 UTC,N/A,false,N/A,
Learning Git and GitHub (2015),"Version control is an essential skill for developers to master, and Git is by far the most popular version control system on the web. In this fast-paced course, author Ray Villalobos shows you how to install Git and use the fundamental commands you need to work with Git projects: moving files, managing logs, and working with branches. Plus, you'll learn how to work with the popular GitHub website to explore existing projects, clone them to your local hard drive, and use them as templates for your new projects. Get started now.<br><br>

Want to explore Git and GitHub in more depth? Watch <em>Git Essential Training</em> for more comprehensive coverage of these tools.",Course,2018-02-27 09:48 UTC,N/A,false,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2021-05-03 09:59 UTC,N/A,false,N/A,
SOLIDWORKS: Modeling a Bicycle,"Cycling is more popular than ever, and many people are opting to build their own frames. Whether you love bikes and you want to build your own frame, or if you just want to practice your own SOLIDWORKS skills in a fun and practical way, join design engineer and avid cyclist Johno Ellison as he shows how to create a rigid bike frame based on real-life frame geometry. He shows how to create the frame, identify off-the-shelf parts such as handlebars, combine them into an assembly, and prepare drawings for the final product. Throughout the course, Johno shows some of the more practical aspects of bike building, as well as how they relate to SOLIDWORKS and CAD in general, giving you a great way to apply your modeling skills.",Course,2022-08-22 12:33 UTC,N/A,false,N/A,
Learning How to Shoot Video at Home,"Learn how to shoot professional-looking video in your own home. Get a crash course in the basics of video production, including cameras, lighting, and composition, tailored for the first-time video shooter. Instructor Ash Blodgett covers technical concepts—such as frame rate, shutter speed, aperture, and exposure—in a concise and easy-to-understand way, giving you the basic information you need to make sure your footage looks its best. She also provides tips for capturing great audio and lighting your scene without expensive equipment. Plus, learn how to make a great video using just your mobile phone. These tips and techniques are perfect for creating great video on a budget—without ever having to leave home.<br><br>

This course was created by Ash Blodgett. We are pleased to offer this training in our library.",Course,2021-11-19 09:40 UTC,N/A,false,N/A,
Lighting for Photographers: Portraiture,"In this course, photographer and teacher Natalie Fobes introduces the techniques behind lighting for portraiture. Its begins with a look at the role of light in setting the mood of a portrait, and then looks at the essential gear photographers need for continuous-light portraiture. The techniques shown are also applicable to strobe lighting. Next, Natalie details a variety of common one-light and two-light lighting techniques, explaining exposure, metering considerations, and light modifiers along the way. The course concludes with several lighting tips, including minimizing physical challenges and do-it-yourself lighting gear instructions.",Course,2020-11-23 06:48 UTC,N/A,false,N/A,
